agent,personal_turn,mean_score,std_score,observations
rule,34,40.405556,16.867565,360
rule,35,41.638889,17.351604,360
rule,36,42.869444,17.778493,360
rule,37,44.188889,18.293274,360
rule,38,45.297222,18.684836,360
rule,39,46.627778,19.214384,360
rule,40,47.852778,19.610497,360
rule,41,49.077778,20.129513,360
rule,42,50.238889,20.579857,360
rule,43,51.486111,21.133475,360
rule,44,52.758333,21.600447,360
rule,45,53.913889,22.126273,360
rule,46,55.127778,22.590340,360
rule,47,56.166667,23.057999,360
rule,48,57.261111,23.561657,360
rule,49,58.452778,24.155670,360
rule,50,59.508333,24.644547,360
