mode,geometry,objectives,score_goal,game,agent_a,agent_b,winner,score_a,score_b,turns_a,turns_b,total_turns,goal_reached,winning_score
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,greedy,rule,A,60,58,16,15,31,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,greedy,rule,B,47,61,13,13,26,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,greedy,rule,A,64,28,13,12,25,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,greedy,rule,A,60,55,14,13,27,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,greedy,rule,A,63,30,13,12,25,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,random,greedy,B,29,61,19,19,38,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,random,greedy,B,15,60,14,14,28,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,random,greedy,B,15,64,14,14,28,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,random,greedy,B,14,63,14,14,28,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,random,greedy,B,4,60,10,10,20,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,random,greedy,B,7,63,14,14,28,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,random,greedy,B,2,64,15,15,30,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,random,greedy,B,6,61,15,15,30,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,random,rule,B,29,61,19,19,38,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,random,rule,B,17,64,17,17,34,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,random,rule,B,2,61,12,12,24,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,random,rule,B,5,62,13,13,26,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,random,rule,B,4,60,10,10,20,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,random,rule,B,7,63,14,14,28,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,random,rule,B,2,64,15,15,30,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,random,rule,B,7,64,15,15,30,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,rule,greedy,A,61,33,13,12,25,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,rule,greedy,B,51,63,17,17,34,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,rule,greedy,A,61,48,14,13,27,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,rule,greedy,A,63,48,15,14,29,True,63
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,rule,greedy,A,65,49,14,13,27,True,65
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,rule,greedy,A,60,24,12,11,23,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,rule,greedy,B,44,60,12,12,24,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,rule,greedy,A,61,35,14,13,27,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,0,rule,random,A,64,4,13,12,25,True,64
spread_outer_multi_goal60,Outer orbit,Distributed,60,1,rule,random,A,61,2,14,13,27,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,2,rule,random,A,60,0,19,18,37,True,60
spread_outer_multi_goal60,Outer orbit,Distributed,60,3,rule,random,A,61,6,14,13,27,True,61
spread_outer_multi_goal60,Outer orbit,Distributed,60,4,rule,random,A,62,4,11,10,21,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,5,rule,random,A,62,2,15,14,29,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,6,rule,random,A,62,5,11,10,21,True,62
spread_outer_multi_goal60,Outer orbit,Distributed,60,7,rule,random,A,61,12,12,11,23,True,61
